Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,41.46,41.62,41.01,41.19,146819,1096,TV18 Broadcast Ltd.
27-June-2024,41.6,41.99,41.0,41.35,556413,4113,TV18 Broadcast Ltd.
26-June-2024,42.35,42.35,41.46,41.64,237012,1455,TV18 Broadcast Ltd.
25-June-2024,42.71,43.14,41.8,41.91,653159,4492,TV18 Broadcast Ltd.
24-June-2024,43.37,43.6,42.55,42.68,393710,1959,TV18 Broadcast Ltd.
21-June-2024,42.71,44.2,42.71,43.65,1601876,4707,TV18 Broadcast Ltd.
20-June-2024,43.35,43.35,42.61,42.7,589499,3817,TV18 Broadcast Ltd.
19-June-2024,43.3,43.45,42.45,42.86,778985,3800,TV18 Broadcast Ltd.
18-June-2024,44.0,44.55,42.75,43.02,747066,3828,TV18 Broadcast Ltd.
14-June-2024,44.44,45.5,43.75,43.96,968246,4767,TV18 Broadcast Ltd.
13-June-2024,45.0,45.27,43.85,44.16,705190,3974,TV18 Broadcast Ltd.
12-June-2024,43.16,46.1,43.16,44.64,1975639,8189,TV18 Broadcast Ltd.
11-June-2024,42.88,43.84,42.7,43.03,373201,1999,TV18 Broadcast Ltd.
10-June-2024,43.9,43.95,42.61,42.83,879147,4025,TV18 Broadcast Ltd.
7-June-2024,42.72,43.82,42.69,43.19,209569,1549,TV18 Broadcast Ltd.
6-June-2024,40.7,42.65,40.7,42.36,616531,3276,TV18 Broadcast Ltd.
5-June-2024,40.61,40.87,38.65,40.69,223739,1944,TV18 Broadcast Ltd.
4-June-2024,42.3,42.66,40.53,40.53,308573,2065,TV18 Broadcast Ltd.
3-June-2024,43.7,43.7,42.02,42.66,636435,4612,TV18 Broadcast Ltd.
31-May-2024,42.79,43.17,41.93,42.06,368649,3376,TV18 Broadcast Ltd.
30-May-2024,42.93,43.78,42.46,42.61,133774,1268,TV18 Broadcast Ltd.
29-May-2024,42.71,43.15,42.26,42.72,195723,1262,TV18 Broadcast Ltd.
28-May-2024,43.69,43.97,42.46,42.71,141895,1337,TV18 Broadcast Ltd.
27-May-2024,44.99,44.99,43.25,43.74,249417,1956,TV18 Broadcast Ltd.
24-May-2024,43.86,45.9,43.86,44.44,245549,2212,TV18 Broadcast Ltd.
23-May-2024,43.98,44.55,43.37,43.76,621419,3597,TV18 Broadcast Ltd.
22-May-2024,42.71,44.63,42.65,43.32,272863,2172,TV18 Broadcast Ltd.
21-May-2024,42.99,43.35,42.61,42.78,297203,2651,TV18 Broadcast Ltd.
18-May-2024,42.96,43.32,42.65,42.92,344293,1139,TV18 Broadcast Ltd.
17-May-2024,43.18,43.6,42.71,42.91,298872,2469,TV18 Broadcast Ltd.
16-May-2024,43.11,43.54,42.55,42.82,106315,928,TV18 Broadcast Ltd.
15-May-2024,42.44,43.8,42.44,43.09,123122,1131,TV18 Broadcast Ltd.
14-May-2024,42.09,43.45,42.09,42.43,579152,3725,TV18 Broadcast Ltd.
13-May-2024,42.24,42.64,41.0,42.01,335444,3128,TV18 Broadcast Ltd.
10-May-2024,42.0,42.42,41.03,42.22,513839,3715,TV18 Broadcast Ltd.
9-May-2024,44.19,44.19,41.64,41.69,940129,6043,TV18 Broadcast Ltd.
8-May-2024,44.44,44.49,43.3,43.83,78650,1056,TV18 Broadcast Ltd.
7-May-2024,43.86,45.45,43.11,43.6,563250,3707,TV18 Broadcast Ltd.
6-May-2024,44.71,45.0,43.2,43.3,695045,5039,TV18 Broadcast Ltd.
3-May-2024,45.46,45.7,44.22,44.71,485348,4843,TV18 Broadcast Ltd.
2-May-2024,46.38,46.5,45.27,45.45,532873,4055,TV18 Broadcast Ltd.
30-April-2024,46.73,46.79,46.0,46.14,322429,2394,TV18 Broadcast Ltd.
29-April-2024,46.57,47.21,46.2,46.41,130995,1156,TV18 Broadcast Ltd.
26-April-2024,46.46,46.7,45.95,46.34,316702,2644,TV18 Broadcast Ltd.
25-April-2024,47.74,47.74,46.2,46.45,536906,3236,TV18 Broadcast Ltd.
24-April-2024,46.11,48.0,46.11,47.14,653771,4290,TV18 Broadcast Ltd.
23-April-2024,46.58,47.1,45.71,45.91,444159,2976,TV18 Broadcast Ltd.
22-April-2024,46.2,46.5,45.65,45.93,204721,1515,TV18 Broadcast Ltd.
19-April-2024,46.39,46.75,45.1,45.89,194335,889,TV18 Broadcast Ltd.
18-April-2024,47.3,47.79,46.51,47.1,221714,773,TV18 Broadcast Ltd.
16-April-2024,46.04,47.9,44.8,46.32,345929,1965,TV18 Broadcast Ltd.
15-April-2024,46.0,46.9,45.15,46.04,174845,1284,TV18 Broadcast Ltd.
12-April-2024,48.0,48.0,47.15,47.21,267698,2003,TV18 Broadcast Ltd.
10-April-2024,48.49,48.53,47.0,47.82,194260,812,TV18 Broadcast Ltd.
9-April-2024,48.17,49.0,47.22,47.92,95952,852,TV18 Broadcast Ltd.
8-April-2024,49.1,49.96,47.1,48.16,411890,2234,TV18 Broadcast Ltd.
5-April-2024,48.99,48.99,48.31,48.62,145573,698,TV18 Broadcast Ltd.
4-April-2024,49.15,49.5,48.5,48.64,264513,1780,TV18 Broadcast Ltd.
3-April-2024,48.5,49.45,46.91,48.77,427758,2119,TV18 Broadcast Ltd.
2-April-2024,49.36,50.35,48.0,48.22,797146,1107,TV18 Broadcast Ltd.
1-April-2024,47.0,48.39,47.0,48.39,338819,821,TV18 Broadcast Ltd.
28-March-2024,47.01,48.45,45.25,46.09,952074,3428,TV18 Broadcast Ltd.
27-March-2024,49.2,50.0,46.5,46.99,523596,1310,TV18 Broadcast Ltd.
26-March-2024,51.0,51.0,47.15,48.16,343434,1943,TV18 Broadcast Ltd.
22-March-2024,48.99,49.95,48.3,49.34,491979,2011,TV18 Broadcast Ltd.
21-March-2024,49.55,49.55,47.75,48.01,176410,946,TV18 Broadcast Ltd.
20-March-2024,49.35,49.95,46.8,47.63,307021,850,TV18 Broadcast Ltd.
19-March-2024,50.7,51.0,48.55,49.11,1133023,1125,TV18 Broadcast Ltd.
18-March-2024,48.95,51.04,48.0,51.04,148410,803,TV18 Broadcast Ltd.
15-March-2024,47.45,48.93,46.0,48.61,576645,1183,TV18 Broadcast Ltd.
14-March-2024,46.0,48.73,44.09,46.6,1217844,3777,TV18 Broadcast Ltd.
13-March-2024,49.44,50.4,46.41,46.41,419909,2913,TV18 Broadcast Ltd.
12-March-2024,50.4,53.05,48.11,48.85,701006,1473,TV18 Broadcast Ltd.
11-March-2024,53.18,53.75,50.3,50.64,450407,2897,TV18 Broadcast Ltd.
7-March-2024,50.5,54.0,49.6,52.81,528743,2524,TV18 Broadcast Ltd.
6-March-2024,53.0,53.55,50.85,51.54,607582,1683,TV18 Broadcast Ltd.
5-March-2024,54.1,55.07,53.39,53.52,866176,4069,TV18 Broadcast Ltd.
4-March-2024,59.14,59.14,56.19,56.19,324088,2002,TV18 Broadcast Ltd.
2-March-2024,57.45,59.7,57.05,59.14,220607,1023,TV18 Broadcast Ltd.
1-March-2024,57.3,59.49,57.04,57.22,956038,3370,TV18 Broadcast Ltd.
29-February-2024,64.7,64.7,60.04,60.04,494117,1550,TV18 Broadcast Ltd.
28-February-2024,64.01,65.29,61.48,63.19,750682,2392,TV18 Broadcast Ltd.
27-February-2024,65.89,65.89,64.0,64.71,592211,1618,TV18 Broadcast Ltd.
26-February-2024,68.0,68.0,64.05,65.41,329315,1552,TV18 Broadcast Ltd.
23-February-2024,63.6,65.7,62.65,65.49,922400,2936,TV18 Broadcast Ltd.
22-February-2024,63.12,64.4,62.06,63.56,146710,732,TV18 Broadcast Ltd.
21-February-2024,67.0,67.4,62.2,63.07,297183,1463,TV18 Broadcast Ltd.
20-February-2024,63.9,64.33,62.15,64.33,482927,1575,TV18 Broadcast Ltd.
19-February-2024,59.53,61.27,59.53,61.27,107520,644,TV18 Broadcast Ltd.
16-February-2024,58.5,59.67,57.5,58.36,274809,1601,TV18 Broadcast Ltd.
15-February-2024,58.15,60.39,58.0,58.24,188140,778,TV18 Broadcast Ltd.
14-February-2024,55.76,59.8,55.56,57.98,295303,1708,TV18 Broadcast Ltd.
13-February-2024,58.0,58.88,55.14,57.77,234796,976,TV18 Broadcast Ltd.
12-February-2024,59.25,61.44,57.65,58.04,259747,1327,TV18 Broadcast Ltd.
9-February-2024,61.9,61.9,58.55,59.98,514671,2538,TV18 Broadcast Ltd.
