Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
28-June-2024,416.0,433.0,414.15,431.45,94971,5448,JYOTHY LABS LIMITED
27-June-2024,422.65,424.4,411.2,412.85,35505,3053,JYOTHY LABS LIMITED
26-June-2024,422.0,424.9,413.8,421.75,34025,2419,JYOTHY LABS LIMITED
25-June-2024,435.0,435.0,415.8,419.2,60967,4533,JYOTHY LABS LIMITED
24-June-2024,449.85,449.85,428.25,429.1,20202,1690,JYOTHY LABS LIMITED
21-June-2024,443.6,451.6,439.65,444.75,55130,3003,JYOTHY LABS LIMITED
20-June-2024,440.05,448.0,436.1,440.15,13882,1267,JYOTHY LABS LIMITED
19-June-2024,447.95,447.95,435.05,438.7,40716,2594,JYOTHY LABS LIMITED
18-June-2024,454.9,456.55,441.25,442.7,20915,1451,JYOTHY LABS LIMITED
14-June-2024,441.65,452.35,441.2,450.05,40610,2593,JYOTHY LABS LIMITED
13-June-2024,451.9,451.9,439.95,441.45,18672,1142,JYOTHY LABS LIMITED
12-June-2024,456.95,456.95,445.25,446.7,27114,1868,JYOTHY LABS LIMITED
11-June-2024,455.45,464.45,449.25,452.0,54311,2782,JYOTHY LABS LIMITED
10-June-2024,452.8,456.2,442.55,453.75,16874,1346,JYOTHY LABS LIMITED
7-June-2024,450.95,461.5,447.0,448.75,35011,1749,JYOTHY LABS LIMITED
6-June-2024,450.0,450.85,432.45,448.2,117571,5301,JYOTHY LABS LIMITED
5-June-2024,380.1,454.55,380.1,448.25,385397,11246,JYOTHY LABS LIMITED
4-June-2024,393.0,401.15,366.7,395.4,47705,1983,JYOTHY LABS LIMITED
3-June-2024,416.65,421.0,392.1,393.5,77439,4041,JYOTHY LABS LIMITED
31-May-2024,416.5,421.0,395.0,402.9,26465,1402,JYOTHY LABS LIMITED
30-May-2024,413.0,424.15,412.0,414.3,12346,606,JYOTHY LABS LIMITED
29-May-2024,418.0,418.9,409.45,413.0,21294,691,JYOTHY LABS LIMITED
28-May-2024,425.0,425.0,413.1,415.05,10204,559,JYOTHY LABS LIMITED
27-May-2024,418.0,425.8,417.55,421.05,42562,1911,JYOTHY LABS LIMITED
24-May-2024,428.9,428.9,416.0,417.2,32934,2047,JYOTHY LABS LIMITED
23-May-2024,427.1,433.55,420.0,423.0,15339,853,JYOTHY LABS LIMITED
22-May-2024,434.95,434.95,418.9,429.65,18086,930,JYOTHY LABS LIMITED
21-May-2024,416.85,449.9,416.85,431.55,51528,2503,JYOTHY LABS LIMITED
18-May-2024,446.95,454.0,444.85,447.7,7378,456,JYOTHY LABS LIMITED
17-May-2024,446.55,450.0,439.75,443.05,13974,746,JYOTHY LABS LIMITED
16-May-2024,448.25,453.2,443.35,446.0,36910,1536,JYOTHY LABS LIMITED
15-May-2024,465.0,472.0,427.85,439.45,245443,9263,JYOTHY LABS LIMITED
14-May-2024,452.05,469.0,452.05,460.1,54360,1647,JYOTHY LABS LIMITED
13-May-2024,465.45,473.55,451.95,455.1,76740,2270,JYOTHY LABS LIMITED
10-May-2024,457.0,465.5,452.05,460.65,24715,962,JYOTHY LABS LIMITED
9-May-2024,464.95,469.95,452.2,457.15,120345,4395,JYOTHY LABS LIMITED
8-May-2024,454.55,477.95,443.55,461.75,212644,7272,JYOTHY LABS LIMITED
7-May-2024,416.0,459.75,411.9,456.6,452841,11413,JYOTHY LABS LIMITED
6-May-2024,429.0,429.0,413.15,414.55,29460,1566,JYOTHY LABS LIMITED
3-May-2024,440.0,440.0,417.7,423.25,22065,1987,JYOTHY LABS LIMITED
2-May-2024,435.55,440.55,433.0,438.9,16600,839,JYOTHY LABS LIMITED
30-April-2024,437.0,442.45,431.0,433.65,60488,2897,JYOTHY LABS LIMITED
29-April-2024,428.6,434.6,420.55,430.9,50935,2468,JYOTHY LABS LIMITED
26-April-2024,429.95,430.0,417.15,420.7,45762,2428,JYOTHY LABS LIMITED
25-April-2024,420.35,466.25,420.35,427.15,166684,5359,JYOTHY LABS LIMITED
24-April-2024,427.15,428.95,420.15,422.55,18736,1088,JYOTHY LABS LIMITED
23-April-2024,417.9,422.55,413.0,421.05,11303,612,JYOTHY LABS LIMITED
22-April-2024,415.0,419.3,413.35,415.6,13137,995,JYOTHY LABS LIMITED
19-April-2024,407.35,413.2,405.9,411.05,15006,906,JYOTHY LABS LIMITED
18-April-2024,419.45,420.55,412.85,414.9,35336,1725,JYOTHY LABS LIMITED
16-April-2024,422.0,425.85,412.0,414.0,18453,1040,JYOTHY LABS LIMITED
15-April-2024,420.05,440.0,420.05,428.25,11822,627,JYOTHY LABS LIMITED
12-April-2024,437.85,442.1,421.6,434.1,34449,1895,JYOTHY LABS LIMITED
10-April-2024,443.05,445.0,437.0,439.5,9673,782,JYOTHY LABS LIMITED
9-April-2024,452.75,452.75,439.55,443.2,8814,598,JYOTHY LABS LIMITED
8-April-2024,445.25,454.4,439.9,444.05,10086,566,JYOTHY LABS LIMITED
5-April-2024,438.0,446.55,436.0,444.1,23190,1097,JYOTHY LABS LIMITED
4-April-2024,443.15,448.0,433.25,436.1,14475,617,JYOTHY LABS LIMITED
3-April-2024,448.65,448.65,441.95,443.1,7872,460,JYOTHY LABS LIMITED
2-April-2024,447.35,465.5,445.0,448.2,21443,806,JYOTHY LABS LIMITED
1-April-2024,448.0,448.0,440.15,443.9,9305,427,JYOTHY LABS LIMITED
28-March-2024,453.55,460.0,435.0,439.6,37253,1506,JYOTHY LABS LIMITED
27-March-2024,429.95,448.65,426.35,445.6,30066,1411,JYOTHY LABS LIMITED
26-March-2024,419.7,430.8,415.0,427.45,16868,671,JYOTHY LABS LIMITED
22-March-2024,418.05,425.7,416.0,424.2,15722,483,JYOTHY LABS LIMITED
21-March-2024,426.95,426.95,414.85,418.55,12040,553,JYOTHY LABS LIMITED
