Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,255.6,260.35,255.6,256.8,42702,945
27-June-2024,260.0,264.0,254.35,255.7,88349,2436
26-June-2024,262.0,264.35,256.5,257.85,87457,1984
25-June-2024,268.35,271.65,261.6,263.4,60067,1339
24-June-2024,270.0,274.9,265.45,268.25,119946,2837
21-June-2024,268.05,271.2,266.2,269.6,47222,1643
20-June-2024,264.05,271.5,259.5,269.7,150034,3665
19-June-2024,261.45,261.95,252.6,260.45,66190,1578
18-June-2024,264.0,267.2,254.45,259.7,71231,1807
14-June-2024,258.75,266.95,254.6,263.4,229306,5747
13-June-2024,250.0,259.0,242.45,257.35,106463,2985
12-June-2024,249.35,253.95,245.55,246.3,88344,2802
11-June-2024,247.4,251.55,243.55,247.25,96332,2452
10-June-2024,246.05,259.85,246.05,248.45,152267,3918
7-June-2024,217.8,247.9,217.8,244.35,374956,6093
6-June-2024,215.0,221.6,213.65,219.25,72111,1997
5-June-2024,205.0,214.45,198.0,212.6,62915,1744
4-June-2024,208.8,212.0,186.75,199.25,91340,2882
3-June-2024,212.55,218.0,208.25,209.3,51310,1354
31-May-2024,201.5,209.15,201.4,205.4,54476,1192
30-May-2024,210.55,210.55,199.0,201.4,98001,2732
29-May-2024,207.05,210.35,206.65,208.7,52853,920
28-May-2024,204.05,209.2,204.05,207.5,56367,1414
27-May-2024,206.85,208.4,202.7,206.7,99706,2313
24-May-2024,208.5,210.5,204.1,205.25,93514,2795
23-May-2024,214.95,214.95,210.0,211.1,28165,729
22-May-2024,215.95,215.95,205.9,212.85,84906,1873
21-May-2024,224.5,224.95,211.5,212.5,135225,3866
18-May-2024,225.05,227.95,220.4,223.65,13264,563
17-May-2024,229.0,233.75,224.35,226.5,109649,2189
16-May-2024,221.05,233.4,221.05,228.4,200565,5335
15-May-2024,223.0,223.35,219.1,221.05,51457,2131
14-May-2024,213.95,224.0,212.95,222.55,123689,4089
13-May-2024,211.05,215.0,207.9,212.9,31753,964
10-May-2024,212.05,215.8,209.0,213.95,32786,927
9-May-2024,215.35,219.75,213.3,215.15,47573,1417
8-May-2024,216.95,221.6,212.05,218.75,35653,1063
7-May-2024,222.2,223.05,210.45,213.5,89763,1582
6-May-2024,226.0,226.35,213.45,222.05,146248,3384
3-May-2024,219.4,226.75,217.35,223.95,149555,2580
2-May-2024,216.7,216.85,212.2,216.3,74605,1957
30-April-2024,215.25,219.2,214.2,215.8,44624,1135
29-April-2024,214.25,216.2,213.3,214.1,67183,1689
26-April-2024,213.85,215.4,212.0,215.0,55954,830
25-April-2024,215.25,215.7,211.7,213.15,38709,924
24-April-2024,216.25,217.8,214.3,215.3,92922,1708
23-April-2024,208.05,221.0,208.05,215.3,123386,1825
22-April-2024,203.25,210.5,203.25,209.35,72625,1440
19-April-2024,202.55,204.0,198.75,202.9,36553,933
18-April-2024,204.35,206.25,202.55,203.55,35994,851
16-April-2024,200.15,205.9,200.1,202.95,94453,1062
15-April-2024,191.1,204.3,189.65,202.0,291042,6366
12-April-2024,214.55,215.65,205.4,206.95,89440,1580
10-April-2024,213.55,217.25,211.3,215.95,141722,2973
9-April-2024,211.85,214.55,207.65,213.55,227876,3372
8-April-2024,209.45,210.65,205.5,210.15,72092,1121
5-April-2024,207.05,208.05,204.65,206.05,51415,1511
4-April-2024,205.05,208.65,205.05,208.0,158709,2229
3-April-2024,199.65,207.05,198.95,206.15,251350,3807
2-April-2024,201.75,203.0,198.7,200.7,211603,3322
1-April-2024,191.35,201.6,188.85,200.0,395412,4898
28-March-2024,184.2,192.2,184.2,188.3,150290,2358
27-March-2024,190.0,190.0,184.6,187.25,119321,1635
26-March-2024,194.9,196.0,187.25,188.95,209402,3070
22-March-2024,189.85,196.5,186.25,194.45,191959,2509
21-March-2024,177.15,191.6,177.15,189.9,504312,6599
20-March-2024,178.0,182.0,170.55,179.85,591822,15611
19-March-2024,169.7,169.7,160.75,162.15,4077121,4376
18-March-2024,169.45,173.75,169.15,170.25,79544,1903
15-March-2024,172.8,175.4,167.2,169.45,83368,1563
14-March-2024,160.05,174.45,160.05,172.15,218553,4116
13-March-2024,177.45,177.45,161.0,162.65,102186,2433
12-March-2024,170.8,178.7,169.6,176.55,152222,2177
11-March-2024,177.05,177.9,169.45,170.25,85716,2369
7-March-2024,175.65,177.15,174.65,175.7,82457,1812
6-March-2024,175.55,178.9,172.35,175.5,55059,892
5-March-2024,178.0,181.8,175.4,178.8,54681,1130
4-March-2024,179.75,180.65,177.05,177.3,31654,847
2-March-2024,178.9,181.1,176.05,177.7,22251,714
1-March-2024,180.7,182.7,175.3,176.05,104010,3245
29-February-2024,178.95,182.85,176.5,180.05,40625,1034
28-February-2024,182.25,183.3,176.0,177.15,101218,2762
27-February-2024,181.75,184.05,179.4,181.4,72551,1670
26-February-2024,187.95,187.95,180.25,180.9,47367,1282
23-February-2024,188.15,188.7,184.5,185.1,98826,2088
22-February-2024,189.0,189.0,183.2,186.4,53241,1326
21-February-2024,193.7,194.6,186.05,186.6,48471,1611
20-February-2024,194.45,196.9,191.6,193.25,97700,1903
19-February-2024,192.65,195.75,190.0,193.7,85959,3396
16-February-2024,182.15,190.6,182.05,189.3,173656,3096
15-February-2024,182.35,184.65,180.25,181.0,108102,1503
14-February-2024,177.8,183.45,176.75,182.0,110985,2615
13-February-2024,180.15,183.1,175.25,179.6,109773,3571
12-February-2024,189.65,190.75,180.45,181.55,116285,3257
9-February-2024,194.45,194.45,185.6,189.35,104188,3018
8-February-2024,197.75,197.75,191.8,193.9,109521,2418
7-February-2024,185.35,197.4,184.45,196.05,252355,4742
6-February-2024,186.8,188.5,177.45,181.7,206425,5035
5-February-2024,198.1,198.1,177.0,185.1,80086,2044
2-February-2024,199.25,200.9,194.7,195.5,60848,1155
1-February-2024,198.25,200.95,197.35,198.8,120876,2430
31-January-2024,196.9,201.1,195.65,197.05,44439,979
30-January-2024,200.7,201.0,195.0,196.4,63460,1244
29-January-2024,200.05,203.05,196.5,199.3,75206,1577
25-January-2024,209.15,210.65,195.0,196.05,216209,3992
24-January-2024,191.85,206.4,190.2,204.25,174919,4138
23-January-2024,198.3,202.25,190.5,191.85,135494,2098
20-January-2024,197.85,202.8,197.8,199.35,62710,1746
19-January-2024,201.15,203.0,199.1,200.95,17688,633
18-January-2024,200.1,201.9,196.7,199.75,80958,1624
17-January-2024,202.45,204.25,198.15,199.5,112304,2622
16-January-2024,203.8,208.2,202.0,203.55,109486,1981
15-January-2024,211.75,211.75,203.15,203.85,106806,2680
12-January-2024,211.15,211.2,207.15,208.95,52809,1251
11-January-2024,203.0,210.0,202.9,208.75,80047,1508
10-January-2024,199.6,206.5,199.6,202.9,119789,2084
9-January-2024,200.65,204.0,198.6,199.35,80656,2084
8-January-2024,203.85,203.85,200.6,201.35,46051,1004
5-January-2024,202.05,205.0,201.0,201.85,98052,1985
4-January-2024,200.15,204.05,200.15,201.9,39889,700
3-January-2024,201.15,202.8,200.8,201.3,66357,1472
2-January-2024,203.75,204.5,200.3,202.55,79624,1889
1-January-2024,204.15,204.6,201.7,203.35,32390,855
29-December-2023,199.65,204.8,198.9,203.05,95219,1934
28-December-2023,203.0,203.1,199.0,200.4,48604,1427
27-December-2023,204.75,206.45,200.9,201.3,116167,2554
26-December-2023,209.7,214.6,200.4,203.5,423311,5555
22-December-2023,206.25,208.65,198.95,200.65,74882,1684
21-December-2023,195.9,204.2,193.1,203.05,164095,3234
20-December-2023,202.8,207.15,195.5,196.35,104479,1794
19-December-2023,208.0,209.5,197.45,200.8,373331,7291
18-December-2023,213.35,214.6,209.35,210.55,51002,1116
15-December-2023,214.95,218.85,211.5,213.3,56847,1208
14-December-2023,215.6,217.0,213.25,213.45,46468,915
13-December-2023,215.95,216.0,213.05,215.35,63600,2061
12-December-2023,216.3,217.85,212.0,214.05,83569,1981
11-December-2023,215.15,219.35,212.8,215.1,35300,1123
8-December-2023,225.25,226.6,211.55,214.25,188669,4248
7-December-2023,229.95,230.1,220.75,224.2,141839,3159
6-December-2023,228.05,231.75,224.15,228.8,62362,842
5-December-2023,221.55,234.45,221.55,228.15,313420,4215
4-December-2023,219.9,223.45,218.15,220.5,123454,1794
1-December-2023,218.95,219.25,212.55,215.95,170404,2570
30-November-2023,212.3,218.95,210.4,217.55,282155,4070
29-November-2023,213.95,216.15,209.5,212.15,182008,2590
28-November-2023,211.05,217.2,208.6,210.55,92307,1893
24-November-2023,212.2,216.5,211.6,212.0,200157,2229
23-November-2023,207.5,217.15,207.5,210.85,132657,1568
22-November-2023,219.35,219.35,205.0,207.45,283176,4697
21-November-2023,216.45,220.3,212.0,219.4,131179,1919
20-November-2023,202.75,215.7,202.75,214.45,377811,5446
17-November-2023,199.7,207.4,199.7,202.75,220920,3837
16-November-2023,196.65,204.9,196.65,199.7,352594,4226
15-November-2023,200.95,200.95,193.4,194.0,220340,3488
13-November-2023,201.2,201.2,195.3,197.2,83707,1811
12-November-2023,195.15,201.0,195.15,199.65,61870,1671
10-November-2023,195.2,196.2,192.0,195.05,235122,2856
9-November-2023,202.95,202.95,193.05,195.2,215818,3220
8-November-2023,201.6,204.9,197.7,199.7,128539,1824
7-November-2023,186.0,201.6,184.45,199.35,663540,9907
6-November-2023,191.65,192.0,183.2,186.95,62406,1328
3-November-2023,192.5,194.0,186.15,187.85,344525,5133
2-November-2023,170.2,195.2,170.2,190.65,699105,6383
1-November-2023,166.25,172.05,165.1,169.0,117211,1630
31-October-2023,169.3,169.3,164.3,164.8,74961,990
30-October-2023,163.25,177.0,159.5,162.0,210091,3393
27-October-2023,162.95,168.0,161.65,163.0,40263,946
26-October-2023,155.9,164.85,151.0,159.4,149788,4221
25-October-2023,162.9,164.95,155.55,158.75,49051,1064
23-October-2023,171.05,173.45,155.25,158.9,163952,3533
